,-0..10
-10.86,-1.10
-10.54,-1.10
-10.40,-1.10
-10.37,-0.55
-10.66,-1.10
-10.31,-1.10
-10.77,-0.55
-10.83,-1.10
-10.23,-1.10
-10.66,-1.65
-10.14,-1.10
-10.34,-1.10
-10.66,-1.10
-10.57,-1.10
-10.37,-1.10
-10.11,-1.65
-10.77,-1.10
-10.54,-0.55
-10.17,-1.10
-9.91,-1.10
-9.97,-1.10
-9.80,-1.10
-9.57,-1.10
-9.49,-1.10
-9.69,-1.10
-8.86,-1.10
-8.80,-1.10
-7.97,-1.10
-8.03,-1.10
-6.57,-1.10
-5.86,-1.10
-0.43,-0.55
7.29,0.55
17.60,1.65
17.20,1.10
17.06,1.65
17.66,1.65
16.89,1.10
16.94,1.10
17.60,1.10
16.69,1.65
16.74,1.10
17.40,1.65
17.23,1.10
17.14,1.10
17.20,1.65
16.74,1.10
16.74,1.10
16.89,1.65
16.91,1.10
17.11,1.10
16.86,1.10
16.80,1.10
16.94,1.65
16.69,1.10
16.97,1.10
16.83,1.65
16.71,1.10
16.31,1.10
16.60,1.10
16.80,1.10
16.57,1.65
17.09,1.65
16.14,1.65
16.29,1.10
16.00,1.65
16.51,1.65
16.17,1.65
15.83,1.10
16.40,1.65
16.34,1.65
16.06,1.65
15.43,1.65
16.03,1.65
16.29,1.65
15.69,1.65
15.09,1.65
15.97,1.65
15.71,1.65
15.54,1.65
16.23,1.65
15.80,1.65
15.71,1.65
15.66,1.65
16.17,1.65
14.14,2.19
14.80,1.65
14.91,2.19
13.80,2.19
13.51,2.19
12.37,2.19
12.37,2.19
14.31,2.74
12.83,1.65
11.51,2.74
11.83,2.74
12.00,2.74
11.00,3.29
10.14,3.84
9.29,4.94
-19.17,1.10
-14.83,0.00
-13.63,-0.55
-12.91,-0.55
-12.49,-0.55
-12.34,-1.10
-11.89,-1.10
-11.17,-1.10
-11.40,-1.10
-11.57,-1.10
-11.23,-0.55
-11.29,-0.55
-11.31,-1.10
-11.34,-0.55
-11.37,-0.55
-10.63,-1.10
-11.43,-1.10
-11.20,-1.10
-10.89,-1.10
-10.94,-0.55
-10.94,-1.10
-10.89,-1.10
-10.80,-1.10
-11.26,-1.65
-10.83,-1.10
-11.09,-1.65
-10.83,-1.10
-11.20,-1.10
-10.89,-1.10
-11.11,-0.55
-10.71,-0.55
-10.91,-0.55
-11.43,-1.10
-10.97,-1.10
-10.74,-1.10
-11.09,-1.10
-10.97,-1.10
-11.00,-1.10
-10.89,-1.10
-10.77,-1.10
-10.49,-1.65
-10.83,-1.10
-10.86,-1.10
-10.71,-1.10
-11.09,-1.10
-10.83,-1.10
-11.23,-1.10
-11.03,-1.10
-10.91,-1.10
-11.00,-1.10
-11.20,-1.10
-10.77,-0.55
-11.06,-1.10
-10.89,-0.55
-10.57,-1.10
-10.89,-1.10
-10.86,-0.55
-11.00,-1.10
-10.97,-1.10
-10.91,-1.10
-10.63,-1.10
-10.97,-1.10
-10.77,-1.10
-11.06,-1.10
-10.83,-1.65
-10.94,-1.10
-10.80,-1.10
-10.29,-1.10
-10.77,-1.10
-10.86,-1.10
-10.60,-1.10
-10.74,-1.10
-10.97,-1.10
-10.91,-1.10
-10.66,-1.10
-10.89,-0.55
-10.43,-1.10
-10.66,-1.65
-10.63,-1.65
-10.83,-1.10
-10.14,-1.10
-10.09,-1.10
-10.37,-1.10
-10.63,-1.10
-10.46,-1.10
-10.51,-1.65
-9.89,-1.10
-9.83,-1.10
-9.37,-1.10
-9.20,-1.65
-9.14,-1.10
-8.83,-1.65
-7.97,-1.10
-6.46,-0.55
-5.89,-0.55
-4.49,0.00
-1.60,0.00
10.49,1.10
17.60,1.65
17.37,1.65
16.57,1.65
17.11,1.10
16.80,1.10
16.74,1.10
17.03,1.10
17.31,1.10
17.29,1.10
16.71,1.10
17.40,1.65
17.29,1.10
17.37,1.10
16.80,1.65
16.57,1.10
16.43,1.65
16.54,1.65
17.00,1.10
16.57,1.65
16.40,1.10
17.26,1.65
16.51,1.65
17.17,1.65
16.97,1.65
17.00,1.65
16.91,1.65
16.51,1.10
16.54,1.65
16.31,1.10
16.40,1.10
16.54,1.65
15.97,1.65
16.37,1.65
16.63,1.65
16.34,1.65
15.97,1.10
15.97,1.65
16.31,1.65
15.80,1.65
15.69,1.10
15.29,1.65
15.80,1.65
15.54,2.19
16.00,1.65
15.54,1.65
16.00,1.65
16.20,1.65
15.86,1.65
16.23,1.10
15.91,1.65
15.06,1.65
15.46,1.65
15.14,1.65
14.46,1.65
13.94,1.65
13.29,2.19
13.17,2.19
12.71,2.19
12.40,2.19
12.69,2.19
12.83,2.19
12.17,2.74
12.31,2.74
12.86,2.74
9.51,2.19
9.34,3.84
7.06,3.29
4.17,4.39
-21.51,1.10
-15.23,0.00
-14.46,0.00
-13.46,-0.55
-12.43,-1.10
-12.43,-1.10
-11.94,-1.10
-11.23,-0.55
-11.46,-0.55
-11.43,-1.10
-11.11,-1.10
-11.20,-0.55
-11.23,-1.10
-11.43,-0.55
-11.11,-1.10
-11.00,-1.10
-11.17,-1.10
-10.86,-1.65
-10.89,-1.10
-10.86,-0.55
-10.91,-1.10
-10.37,-1.10
-10.91,-1.10
-10.80,-1.10
-10.51,-0.55
-10.63,-1.10
-10.63,-1.65
-10.49,-1.65
-10.86,-1.10
-10.74,-1.10
-10.40,-1.10
-10.74,-1.10
-10.49,-1.65
-10.86,-1.10
-10.77,-1.10
-10.49,-1.10
-10.80,-1.10
-10.66,-1.10
-10.57,-1.10
-10.91,-1.10
-10.34,-1.10
-11.00,-1.10
-10.57,-1.10
-10.91,-1.10
-10.51,-1.10
-11.06,-0.55
-10.51,-1.10
-10.86,-1.65
-10.60,-1.65
-11.03,-1.10
-10.63,-1.10
-11.03,-0.55
-11.06,-1.65
-10.91,-1.65
-10.80,-1.10
-10.49,-1.10
-10.91,-1.10
-11.09,-1.10
-10.60,-1.10
-10.66,-1.10
-10.49,-1.65
-10.49,-1.10
-10.51,-1.10
-10.00,-1.10
-10.54,-1.10
-10.86,-1.10
-10.49,-1.10
-10.46,-1.10
-10.91,-1.65
-10.54,-1.10
-10.29,-1.10
-10.37,-1.10
-10.51,-0.55
-10.37,-1.10
-10.60,-1.10
-10.31,-1.10
-10.66,-1.65
-10.17,-1.10
-10.34,-1.65
-10.31,-1.10
-10.46,-1.10
-10.37,-1.10
-10.09,-1.10
-10.03,-1.10
-10.31,-1.10
-10.29,-1.10
-10.20,-1.10
-9.83,-1.10
-9.57,-1.10
-9.26,-1.10
-9.80,-1.65
-9.00,-1.10
-9.09,-1.10
-8.29,-1.65
-6.83,-1.10
-6.23,-1.10
-5.14,-1.10
-1.86,-0.55
2.57,0.00
19.69,1.65
16.83,1.10
17.37,1.65
16.69,1.10
17.00,1.10
16.89,1.65
16.60,1.65
17.06,1.10
16.69,1.10
16.86,1.65
16.40,1.10
16.97,1.10
16.66,1.10
16.77,1.65
16.51,1.10
16.86,1.65
17.06,1.65
16.66,1.65
16.74,1.10
16.77,1.65
16.77,1.10
16.63,1.65
16.91,1.65
16.74,1.10
16.69,1.10
16.63,1.10
16.51,1.65
16.51,1.65
15.77,1.65
16.63,1.10
16.17,1.10
16.03,1.65
15.91,1.10
16.29,1.65
15.91,1.10
16.17,1.65
15.74,1.10
15.80,1.65
15.89,1.65
15.29,1.10
15.51,2.19
15.49,1.65
15.91,1.65
15.46,1.65
15.83,1.65
15.03,1.65
15.63,1.65
15.20,1.10
15.49,1.65
15.83,1.65
15.60,1.65
15.74,1.65
15.20,1.65
15.17,2.19
15.26,2.19
13.57,2.19
13.31,2.19
13.43,2.74
12.26,2.19
12.54,2.74
13.77,1.65
12.80,2.74
12.23,3.29
11.74,2.74
11.46,3.29
11.77,2.74
8.60,4.39
5.77,3.84
-9.29,-0.55
-17.57,0.55
-14.03,0.00
-13.46,0.00
-12.89,-0.55
-12.26,-0.55
-11.97,-1.10
-11.91,-1.65
-11.49,-1.10
-11.20,-1.10
-11.00,-0.55
-11.06,-1.65
-11.17,-1.10
-11.03,-1.10
-10.97,-1.10
-11.23,-1.10
-10.97,-1.10
-11.29,-1.10
-11.09,-0.55
-10.94,-1.10
-11.11,-1.10
-10.71,-1.10
-10.89,-0.55
-11.09,-1.10
-10.66,-1.10
-11.14,-1.10
-11.11,-0.55
-11.00,-1.10
-10.86,-1.10
-10.91,-1.10
-10.83,-1.10
-10.77,-1.10
-10.69,-1.10
-11.00,-1.10
-10.91,-1.10
-10.71,-1.10
-10.89,-1.10
-10.49,-1.10
-10.83,-1.10
-10.94,-1.10
-10.74,-1.10
-10.71,-1.10
-10.94,-1.10
-11.03,-1.10
-11.17,-1.10
-10.49,-1.10
-10.83,-1.10
-10.94,-1.65
-11.00,-1.10
-11.06,-1.65
-10.97,-1.10
-10.86,-1.10
-11.00,-1.10
-11.00,-1.10
-10.91,-1.10
-10.71,-1.10
-11.00,-1.10
-10.37,-1.10
-10.89,-1.10
-10.80,-1.10
-10.71,-1.10
-10.77,-1.10
-10.57,-1.10
-10.66,-1.65
-10.69,-0.55
-10.66,-1.10
-10.66,-1.65
-10.86,-1.10
-10.49,-1.10
-10.31,-1.10
-10.63,-1.65
-10.80,-1.10
-10.83,-1.65
-10.51,-1.10
-10.71,-1.10
-10.51,-0.55
-10.49,-1.65
-10.69,-1.10
-10.49,-1.10
-10.40,-1.10
-10.43,-1.10
-10.34,-1.10
-10.46,-1.10
-10.06,-1.10
-10.49,-1.10
-10.49,-1.65
-10.14,-1.10
-9.54,-1.10
-9.37,-0.55
-9.57,-1.10
-9.00,-1.10
-9.26,-1.65
-9.00,-1.65
-8.26,-1.10
-7.31,-2.19
-7.46,-0.55
-3.80,-0.55
-0.09,0.55
7.49,1.10
17.80,1.10
17.00,1.65
17.00,1.10
16.86,1.10
17.00,1.65
17.00,1.65
17.06,1.65
16.83,1.10
16.54,1.10
16.66,1.10
16.80,1.10
16.69,1.10
16.46,1.10
16.40,1.65
17.03,1.65
16.91,1.10
17.03,1.10
16.51,1.65
16.89,1.65
16.69,1.10
16.71,1.65
16.51,1.10
17.20,1.65
16.74,1.65
16.31,1.10
16.86,1.65
16.54,1.65
16.57,1.10
16.00,1.65
17.29,1.65
16.23,1.65
15.63,1.10
16.37,1.65
15.63,1.65
15.71,1.65
16.34,1.65
16.11,1.65
16.00,1.65
16.09,1.65
15.40,1.65
15.46,1.65
15.11,1.65
16.03,1.65
15.66,1.65
15.74,2.19
15.94,1.65
15.54,1.65
16.17,1.65
15.60,1.65
15.83,1.65
15.40,1.65
15.23,1.65
15.26,1.65
14.77,1.65
14.63,2.19
13.80,2.19
14.51,2.19
12.46,2.19
12.86,2.74
13.54,2.19
13.54,2.19
12.91,2.74
11.09,2.74
12.11,3.29
12.77,2.74
8.69,3.84
8.57,3.29
8.06,4.39
3.86,3.29
-2.46,0.55
-16.57,1.10
-15.03,0.00
-13.63,0.00
-13.03,-0.55
-12.14,-1.10
-11.91,-1.10
-11.97,-1.65
-11.57,-1.10
-10.77,-0.55
-11.06,-1.10
-11.23,-0.55
-11.34,-1.10
-10.69,-0.55
-11.20,-1.10
-10.97,-1.10
-10.71,-1.10
-11.51,-1.10
-11.03,-1.10
-10.97,-1.10
-10.60,-0.55
-10.74,-0.55
-10.66,-1.10
-10.69,-0.55
-10.57,-1.10
-10.66,-0.55
-10.89,-0.55
-10.71,-0.55
-10.74,-1.10
-10.46,-1.10
-10.97,-1.10
-10.63,-1.10
-10.57,-1.10
-10.40,-1.10
-10.94,-1.65
-10.74,-1.10
-11.00,-1.10
-10.29,-1.10
-10.60,-1.10
-10.71,-1.10
-10.57,-1.10
-10.89,-1.10
-11.09,-1.10
-10.77,-1.10
-10.71,-1.10
-10.71,-1.10
-10.97,-1.65
-11.03,-1.10
-11.14,-1.10
-10.83,-1.10
-10.83,-1.10
-10.77,-1.10
-11.14,-1.10
-10.86,-1.10
-10.91,-0.55
-11.09,-1.10
-10.89,-0.55
-10.69,-1.10
-10.63,-1.10
-10.40,-1.10
-10.54,-1.10
-10.74,-1.10
-10.80,-1.10
-10.86,-1.10
-10.89,-1.10
-10.37,-1.65
-10.77,-1.10
-10.94,-1.10
-10.86,-1.10
-10.57,-1.10
-10.86,-1.10
-10.97,-1.10
-10.37,-1.65
-10.57,-1.10
-10.77,-0.55
-10.83,-0.55
-10.63,-1.10
-10.26,-1.10
-10.74,-1.65
-10.34,-1.10
-10.20,-1.65
-10.40,-1.10
-10.20,-1.65
-10.17,-1.65
-10.37,-1.10
-10.49,-1.10
-10.31,-1.10
-9.89,-2.19
-10.14,-1.65
-9.63,-0.55
-10.11,-1.10
-9.77,-1.65
-9.31,-1.65
-8.40,-1.65
-8.29,-1.65
-6.74,-1.10
-5.40,-1.10
-3.57,-1.65
4.00,0.00
18.91,1.10
17.06,1.10
17.03,1.65
17.49,1.65
17.46,1.10
17.06,1.65
17.23,1.65
17.09,1.65
16.97,1.10
17.00,1.10
16.54,1.10
17.23,1.65
17.00,1.65
16.77,1.65
16.77,1.10
17.20,1.65
16.89,1.65
16.69,1.10
16.40,1.10
16.71,1.65
17.06,1.65
16.86,1.65
16.66,1.65
17.71,1.65
16.43,1.65
16.89,1.65
17.11,1.65
16.86,1.65
16.71,1.65
17.23,1.10
16.00,1.10
16.40,1.65
16.37,1.65
16.43,1.65
16.34,2.19
16.51,1.65
15.86,1.65
16.09,1.65
16.09,1.65
16.20,1.65
15.74,2.19
15.54,1.65
15.31,1.65
15.91,1.65
15.54,1.65
15.66,1.65
15.97,1.65
16.11,2.19
16.03,1.65
15.66,1.65
15.97,1.65
16.00,2.19
15.86,2.19
14.34,1.65
14.17,2.19
13.69,2.19
13.14,2.19
12.31,2.19
12.11,2.19
13.37,2.19
13.34,2.19
12.40,2.19
12.34,2.74
11.14,3.29
10.14,3.84
8.37,3.29
0.63,3.84
-24.29,2.19
-16.51,0.00
-13.94,0.00
-13.40,-0.55
-12.49,-0.55
-12.29,-1.10
-11.83,-0.55
-12.03,-1.10
-11.97,-1.10
-11.94,-1.65
-11.57,-1.10
-11.49,-1.10
-11.43,-1.10
-11.37,-0.55
-11.37,-1.10
-11.11,-1.10
-11.26,-1.10
-11.00,-1.10
-11.11,-1.10
-11.14,-1.10
-11.17,-1.10
-11.03,-1.10
-10.97,-1.10
-10.86,-1.10
-11.00,-1.10
-10.94,-1.10
-11.31,-1.10
-11.09,-1.10
-10.83,-1.10
-10.57,-1.10
-10.83,-1.10
-10.77,-0.55
-10.74,-1.10
-10.86,-1.10
-10.97,-1.65
-10.86,-1.10
-11.20,-1.10
-11.06,-1.10
-10.94,-1.10
-11.20,-1.65
-11.29,-1.10
-10.94,-1.10
-11.11,-1.10
-10.97,-1.10
-11.00,-1.10
-10.74,-1.10
-10.80,-1.10
-11.40,-1.10
-11.37,-1.10
-11.09,-1.65
-11.49,-1.10
-11.29,-0.55
-10.97,-0.55
-11.09,-1.10
-10.94,-1.10
-10.97,-1.10
-10.63,-1.10
-11.09,-1.10
-11.03,-1.10
-11.20,-1.10
-11.11,-1.10
-11.09,-1.10
-11.09,-1.10
-11.17,-1.10
-11.29,-1.10
-11.00,-1.10
-11.00,-1.65
-10.97,-1.10
-10.77,-1.10
-10.74,-1.10
-10.80,-0.55
-10.89,-1.10
-10.91,-0.55
-10.63,-1.10
-10.86,-1.10
-11.06,-1.10
-10.43,-1.65
-10.66,-1.10
-10.80,-1.65
-10.74,-1.65
-10.43,-1.10
-10.26,-1.10
-10.49,-1.10
-10.43,-1.10
-9.83,-1.10
-10.06,-1.10
-9.94,-1.65
-9.89,-1.10
-9.97,-1.10
-9.09,-1.65
-9.29,-1.10
