
,2.19
-14.71,-2.19
-14.97,-1.65
-14.66,-1.65
-14.60,-2.19
-14.80,-2.19
-14.57,-1.65
-14.60,-2.19
-13.91,-2.19
-13.49,-2.19
-13.03,-2.74
-9.83,-2.19
-9.14,-1.10
-5.26,-1.65
-4.83,-2.19
-10.46,-1.65
-8.71,-2.74
-1.66,-2.19
15.74,2.74
23.06,2.74
23.11,2.19
23.43,2.19
23.66,2.74
23.29,2.74
22.91,2.19
23.11,2.19
23.20,2.19
23.26,2.74
23.57,2.74
23.49,2.74
23.43,2.74
23.37,2.19
22.80,2.74
22.86,2.74
22.26,2.74
23.17,2.74
22.46,2.74
22.83,2.74
22.74,2.74
22.17,2.74
23.23,2.74
21.97,2.74
22.91,3.29
22.49,2.19
23.14,2.74
22.94,2.74
21.60,3.29
22.71,3.29
22.14,3.29
22.80,3.29
22.00,3.29
21.14,2.74
22.09,2.74
21.80,2.74
21.69,2.74
21.74,2.74
21.20,2.74
21.89,3.29
20.26,3.84
19.06,4.39
18.23,4.39
20.14,4.39
18.57,4.39
18.77,4.39
16.31,5.48
14.46,6.58
13.09,7.13
-22.09,1.10
-18.80,-0.55
-17.80,-1.10
-16.71,-1.65
-16.09,-1.65
-15.94,-1.65
-15.63,-1.65
-15.74,-2.19
-15.60,-2.19
-15.80,-2.19
-15.11,-1.65
-15.34,-1.65
-15.51,-2.19
-15.20,-1.65
-15.09,-2.19
-15.37,-1.65
-15.23,-1.65
-15.37,-1.65
-15.31,-2.19
-14.54,-1.65
-14.66,-2.19
-15.17,-1.10
-15.43,-2.74
-14.69,-1.65
-14.80,-2.19
-14.51,-1.65
-14.91,-2.19
-14.54,-1.65
-15.34,-1.10
-14.49,-1.65
-14.83,-1.65
-15.20,-1.65
-15.26,-1.65
-15.43,-1.10
-15.23,-1.65
-15.29,-2.19
-15.40,-2.19
-15.20,-2.19
-15.46,-2.19
-15.66,-1.65
-14.83,-1.65
-15.06,-1.65
-15.11,-2.19
-15.23,-2.19
-15.09,-1.65
-15.09,-2.19
-15.06,-2.74
-15.03,-1.65
-15.03,-1.65
-15.46,-2.19
-15.31,-2.19
-14.94,-2.19
-14.86,-2.19
-14.83,-1.65
-15.11,-2.19
-14.60,-1.65
-14.69,-2.19
-15.17,-2.19
-14.77,-1.65
-15.09,-2.19
-14.49,-2.19
-14.11,-2.19
-13.74,-2.74
-12.83,-2.19
-10.91,-2.74
-8.31,-2.19
-8.83,-0.55
-8.74,-2.19
-7.29,-1.65
-10.17,-1.10
-6.91,-2.74
3.71,1.10
24.46,2.74
22.74,2.19
23.60,2.19
23.60,2.19
23.40,2.74
23.89,2.74
22.74,3.29
23.26,2.74
23.80,2.74
23.31,2.74
23.57,2.74
23.06,2.19
23.54,2.74
23.46,2.74
23.06,2.74
22.51,2.19
23.09,2.74
23.14,2.74
22.63,2.74
22.71,3.29
23.31,2.74
23.11,2.74
22.91,2.74
23.40,3.29
22.69,2.74
22.94,2.74
22.31,2.74
22.86,2.74
23.17,3.29
22.31,2.74
22.74,3.29
21.66,2.74
22.23,2.74
22.09,3.29
23.29,2.74
21.94,3.29
22.26,2.74
21.29,3.29
22.09,3.84
20.51,3.84
19.63,4.39
20.23,3.84
20.20,3.84
20.06,3.84
18.37,4.94
16.26,4.94
14.74,6.03
-22.26,0.55
-21.09,0.00
-18.43,-0.55
-17.63,-1.10
-16.66,-1.10
-16.34,-1.65
-16.34,-1.65
-16.03,-1.65
-15.43,-1.10
-15.57,-1.10
-15.83,-1.65
-15.63,-2.19
-15.49,-2.19
-15.23,-1.65
-15.49,-1.65
-15.40,-2.19
-15.40,-2.19
-15.89,-2.19
-15.03,-1.65
-15.43,-1.10
-15.26,-2.19
-14.97,-2.19
-15.51,-2.19
-15.11,-2.19
-15.60,-1.65
-15.29,-1.65
-15.20,-1.65
-15.43,-1.65
-15.37,-1.65
-15.17,-2.19
-15.57,-2.19
-15.03,-1.10
-15.06,-1.65
-15.31,-1.65
-15.74,-2.19
-15.49,-2.19
-15.51,-1.65
-15.26,-2.19
-14.80,-1.65
-15.49,-1.65
-15.60,-2.19
-15.71,-2.19
-15.31,-2.19
-15.51,-2.74
-15.69,-2.19
-15.17,-2.19
-15.06,-1.65
-15.11,-2.19
-15.51,-1.65
-15.66,-2.19
-15.34,-2.19
-15.57,-1.65
-15.23,-1.65
-15.23,-2.19
-15.43,-1.65
-15.63,-2.19
-15.11,-2.19
-15.09,-2.74
-14.69,-2.19
-14.69,-2.19
-14.23,-1.65
-13.20,-2.19
-13.29,-2.19
-11.00,-3.29
-7.74,-2.19
-8.94,-1.65
-11.29,-2.74
-1.46,-1.65
23.14,4.94
24.00,2.74
23.71,2.74
23.89,2.19
23.74,2.74
24.29,3.29
23.97,2.74
23.49,2.74
24.06,3.29
24.14,2.74
23.66,2.74
23.66,2.74
24.11,2.74
23.60,2.74
23.60,3.29
23.06,2.74
23.00,2.74
23.51,2.74
23.80,2.74
23.09,2.74
23.60,2.74
23.57,2.74
23.66,3.29
23.00,3.29
23.00,3.29
23.06,2.74
23.46,3.29
22.86,3.29
22.46,3.29
23.46,2.74
22.77,2.74
23.14,3.29
22.51,3.29
22.86,3.29
23.03,2.74
22.34,3.29
21.46,3.84
22.09,3.84
21.83,4.39
19.20,4.39
19.46,4.39
21.06,4.39
20.03,3.84
17.54,4.39
17.03,6.03
15.31,6.58
-17.23,-1.65
-22.66,0.00
-19.94,0.00
-17.51,-1.10
-16.91,-1.65
-16.69,-1.65
-16.09,-1.65
-15.89,-1.65
-16.03,-1.65
-16.20,-2.19
-15.89,-1.65
-15.83,-2.19
-15.43,-2.19
-15.51,-1.65
-15.86,-2.19
-16.17,-1.65
-15.57,-1.65
-15.46,-2.19
-15.49,-2.19
-15.40,-2.74
-15.34,-2.74
-15.46,-1.65
-15.46,-1.65
-15.54,-2.19
-15.51,-1.10
-15.40,-2.19
-15.37,-1.65
-15.66,-1.65
-15.86,-2.74
-14.77,-2.19
-15.49,-2.19
-15.49,-2.74
-15.60,-2.19
-15.46,-1.65
-15.51,-2.19
-15.40,-1.65
-15.31,-1.65
-15.34,-1.65
-15.31,-1.65
-15.71,-2.19
-15.20,-2.19
-15.40,-1.65
-15.20,-2.19
-15.20,-2.19
-15.11,-2.19
-15.51,-1.65
-15.49,-2.19
-15.89,-1.65
-15.57,-1.65
-15.57,-2.19
-15.26,-2.19
-15.49,-2.19
-15.31,-1.65
-15.14,-2.19
-15.14,-2.19
-15.17,-2.19
-15.23,-2.74
-15.34,-2.19
-15.51,-2.19
-14.74,-1.65
-14.37,-2.19
-14.06,-2.19
-13.03,-2.74
-11.86,-3.29
-10.00,-2.19
-8.20,-2.74
-7.71,-1.10
-8.34,-2.19
2.54,-2.74
29.09,2.74
24.29,3.29
24.11,2.74
23.69,2.74
23.54,3.29
24.31,2.74
23.63,2.74
24.14,3.29
24.14,2.74
23.06,2.19
23.43,3.29
23.40,2.74
23.37,2.74
23.69,2.19
23.40,2.74
23.11,2.74
23.57,2.74
22.97,2.19
23.86,2.74
23.37,2.74
22.83,2.74
22.29,2.19
22.54,3.29
22.94,3.29
23.06,2.74
22.40,3.29
22.89,2.74
22.89,3.29
22.69,2.74
22.94,2.74
23.14,3.29
22.37,3.29
22.63,3.29
23.06,2.74
22.77,3.29
22.40,2.74
22.09,3.29
22.31,3.29
20.63,3.84
20.34,4.39
19.63,3.84
20.23,3.84
19.74,4.94
19.37,4.39
17.77,5.48
15.57,6.58
12.63,6.03
-27.40,1.10
-21.31,0.00
-18.74,-1.10
-17.11,-1.10
-16.51,-1.65
-16.23,-1.65
-15.94,-1.10
-15.89,-1.65
-15.77,-1.65
-15.77,-2.19
-15.91,-2.74
-15.63,-2.19
-15.51,-1.65
-15.66,-2.19
-15.23,-2.19
-15.46,-2.74
-15.40,-1.65
-15.40,-1.65
-15.17,-1.65
-15.43,-1.65
-15.37,-2.74
-15.34,-2.19
-15.20,-2.19
-15.20,-2.19
-15.23,-1.65
-15.14,-2.19
-15.26,-2.19
-15.40,-2.19
-14.94,-1.65
-15.57,-2.19
-15.23,-2.74
-15.09,-1.65
-15.17,-1.65
-14.77,-2.74
-15.43,-1.65
-15.20,-2.19
-15.63,-2.19
-14.86,-1.65
-15.17,-1.65
-15.31,-2.19
-15.69,-2.19
-15.11,-1.65
-14.77,-1.10
-15.37,-1.65
-15.54,-1.65
-15.54,-2.19
-15.31,-2.74
-15.17,-1.65
-14.97,-1.65
-15.06,-2.19
-15.17,-2.19
-15.00,-1.65
-15.26,-1.65
-14.91,-1.65
-15.29,-1.65
-15.20,-1.65
-15.37,-1.65
-15.03,-2.19
-15.03,-2.74
-14.63,-1.65
-14.14,-2.19
-13.91,-2.19
-13.66,-2.74
-12.60,-2.19
-10.17,-1.65
-6.97,-0.55
-10.57,-2.19
-8.51,-1.65
-5.77,-1.10
-4.14,0.00
-4.37,-0.55
-0.57,0.55
27.20,3.84
23.37,2.74
23.11,2.19
23.86,2.19
23.17,2.74
23.60,2.19
23.66,2.74
23.31,2.74
22.66,2.74
22.83,2.74
22.94,2.74
22.86,2.19
23.66,2.74
22.89,2.74
23.43,3.29
22.94,2.74
23.11,3.29
22.83,2.74
22.63,2.74
22.77,2.74
22.94,2.74
22.31,2.74
22.49,2.74
23.00,2.74
22.40,3.29
22.54,2.74
22.09,2.74
21.97,2.19
22.71,2.74
21.94,2.19
22.17,2.74
21.91,2.74
21.69,2.74
21.54,3.29
22.17,3.29
22.46,2.19
22.23,2.74
21.20,2.74
20.86,3.29
20.71,3.84
19.57,3.29
19.77,3.84
20.17,3.84
19.57,3.84
20.26,3.84
17.51,3.84
16.54,6.03
14.34,7.13
-28.34,1.65
-20.11,0.00
-18.03,-0.55
-16.86,-1.10
-16.49,-1.65
-16.06,-1.65
-15.94,-1.65
-15.54,-1.65
-15.77,-2.19
-15.26,-1.65
-14.91,-1.65
-15.49,-1.65
-15.20,-1.65
-14.89,-1.65
-15.31,-1.65
-15.20,-2.19
-14.86,-1.65
-15.31,-1.65
-15.20,-1.10
-15.11,-1.65
-15.26,-2.19
-15.17,-1.65
-15.09,-2.19
-15.20,-1.65
-15.43,-2.19
-14.97,-2.19
-14.91,-1.65
-14.57,-1.65
-15.23,-1.65
-15.14,-1.65
-14.94,-1.10
-14.91,-2.19
-15.20,-1.65
-14.66,-2.19
-15.20,-2.19
-15.37,-1.65
-14.86,-1.65
-14.83,-1.65
-15.20,-2.19
-15.14,-2.19
-14.89,-2.19
-14.91,-1.10
-15.26,-1.65
-14.83,-1.65
-15.23,-2.19
-14.86,-1.10
-14.89,-1.65
-15.43,-1.65
-14.97,-1.65
-14.83,-2.19
-14.94,-2.19
-14.94,-2.74
-14.86,-1.65
-15.03,-1.65
-14.91,-2.19
-14.69,-2.19
-15.06,-2.19
-14.94,-2.19
-14.83,-2.19
-14.60,-2.19
-14.51,-2.19
-14.00,-1.65
-13.74,-1.65
-12.94,-2.19
-12.09,-2.74
-8.63,-1.65
-4.91,-1.10
-6.26,-1.65
-11.00,-1.65
-12.09,-2.19
-3.89,-1.65
15.06,2.74
23.46,2.19
22.97,2.74
23.23,2.74
23.71,2.19
23.69,2.74
23.43,2.74
23.00,2.74
23.74,2.74
23.29,2.74
23.03,2.74
22.86,2.74
22.46,2.74
22.91,2.74
22.54,2.74
22.57,2.74
22.86,2.19
22.86,2.19
23.06,2.74
22.66,2.74
22.46,2.74
22.26,2.19
22.60,2.74
22.49,3.29
22.91,2.74
22.26,2.74
22.17,2.74
21.69,2.74
22.03,2.74
21.77,3.29
21.89,2.74
22.46,3.29
21.89,2.74
21.69,2.74
22.03,3.29
22.34,3.29
21.31,2.74
21.60,3.29
21.03,2.74
21.46,3.29
19.80,3.84
20.06,4.39
19.03,4.39
19.89,3.29
19.06,3.84
18.09,4.39
16.31,5.48
13.80,6.03
13.06,6.03
-29.14,2.19
-21.83,0.00
-18.09,0.00
-16.94,-1.10
-16.26,-1.65
-16.31,-1.65
-15.63,-1.65
-15.46,-1.65
-15.37,-1.65
-15.29,-1.65
-15.37,-1.65
-15.31,-1.65
-15.40,-1.65
-15.34,-1.65
-15.17,-1.65
-14.74,-2.19
-15.06,-1.65
-14.91,-2.19
-15.46,-2.19
-15.43,-1.65
-14.86,-1.10
-15.20,-1.65
-14.89,-1.65
-15.31,-2.19
-14.91,-1.65
-14.83,-2.19
-15.40,-2.19
-14.66,-2.19
-15.03,-2.19
-14.86,-2.19
-14.54,-2.19
-14.66,-1.65
-15.09,-1.65
-15.09,-2.19
-15.09,-1.65
-15.17,-1.65
-14.83,-1.65
-14.83,-1.65
-14.89,-2.19
-14.97,-1.65
-15.54,-2.19
-14.89,-1.65
-15.03,-1.65
-15.00,-2.19
-14.86,-2.19
-15.14,-1.65
-15.11,-1.65
-15.20,-2.19
-14.77,-1.65
-14.80,-1.65
-15.14,-2.19
-14.74,-1.65
-14.86,-1.65
-14.97,-2.19
-14.86,-2.19
-14.71,-2.19
-14.63,-1.65
-15.00,-1.65
-14.71,-2.19
-14.74,-1.65
-14.83,-1.65
-14.17,-2.19
-14.09,-1.65
-13.74,-2.19
-12.69,-2.19
-12.09,-1.65
-9.11,-1.65
-9.71,-1.65
-5.77,-2.19
-2.20,0.00
-0.66,-0.55
9.94,0.55
23.63,2.74
22.80,2.74
23.03,2.19
23.34,2.19
22.34,2.74
22.94,2.74
23.06,2.74
23.31,2.74
22.69,2.19
23.54,3.29
23.46,2.74
23.11,2.74
22.77,2.74
22.89,2.74
22.14,2.19
23.11,2.19
22.03,2.19
22.26,2.74
22.63,2.19
22.86,2.74
23.00,2.74
21.54,2.19
22.86,3.29
22.54,3.29
21.69,2.74
21.80,2.74
22.00,2.74
22.00,3.29
22.00,2.74
22.20,3.29
22.06,2.74
21.49,2.74
21.29,3.29
21.91,2.74
21.91,2.74
22.23,2.74
22.60,2.74
20.89,3.29
21.17,3.29
19.43,3.29
18.80,4.39
18.54,4.39
19.74,3.29
19.06,3.84
17.51,4.39
16.09,4.39
14.91,6.03
15.00,6.58
-24.03,1.65
-19.46,0.00
-17.86,-1.65
-16.86,-1.65
-16.14,-1.65
-16.26,-1.65
-15.29,-2.19
-15.63,-1.65
-15.80,-1.65
-15.26,-2.19
-15.11,-1.65
-15.40,-1.65
-14.86,-2.19
-15.23,-2.19
-15.20,-1.65
-14.80,-2.19
-14.77,-2.19
-15.09,-1.65
-14.91,-1.65
-14.89,-2.19
-15.00,-1.10
-14.89,-1.65
-14.71,-1.65
-14.89,-2.19
-14.83,-2.19
-15.23,-2.19
-14.63,-1.10
-14.80,-2.19
-15.09,-1.65
-15.20,-1.65
-15.17,-1.65
-14.63,-1.65
-15.03,-1.65
-14.91,-2.19
-15.23,-1.65
-15.23,-1.65
-14.94,-1.65
-15.03,-1.65
-14.77,-1.65
-15.17,-2.19
-15.31,-1.10
-15.29,-1.10
-15.03,-1.10
-15.29,-2.19
-15.20,-1.65
-14.83,-1.65
-14.74,-1.65
-15.20,-1.65
-15.20,-2.19
-14.74,-1.65
-14.69,-2.19
-15.06,-1.10
-14.83,-1.65
-15.26,-2.19
-14.63,-2.19
-14.20,-1.65
-15.17,-2.19
-14.77,-2.19
-14.49,-2.74
-14.20,-1.65
-13.66,-1.65
-14.11,-1.65
-14.03,-2.19
-13.60,-2.74
-13.20,-1.65
-11.57,-2.19
-7.03,-3.29
-9.17,-2.19
-8.91,-2.19
-7.54,-1.10
0.46,0.55
20.49,3.84
22.69,2.74
23.54,2.74
22.43,2.74
23.03,2.74
23.00,2.19
22.69,2.19
22.89,2.74
22.83,2.74
23.74,2.74
22.91,2.74
22.60,2.74
22.51,2.74
22.97,2.74
22.83,2.19
23.09,3.29
22.69,2.74
22.86,2.74
22.49,3.29
22.66,2.74
23.09,2.74
22.29,3.29
22.74,2.74
22.26,2.74
22.51,2.74
22.26,2.74
21.97,2.74
22.06,2.74
21.74,2.74
22.23,2.74
22.20,3.29
21.89,3.29
22.11,3.29
22.26,2.74
21.37,2.19
22.06,2.74
22.57,3.29
21.34,2.74
20.63,2.74
20.91,3.29
20.46,3.84
19.49,4.39
18.71,3.84
19.91,3.84
18.69,3.84
18.63,4.94
15.86,4.39
14.77,6.58
14.91,6.58
-25.34,0.55
-19.97,0.00
-18.06,-0.55
-16.83,-1.65
-16.29,-1.65
-15.63,-1.65
-15.51,-1.65
-15.83,-1.65
-15.49,-2.19
-15.11,-1.10
-15.14,-2.19
-15.23,-2.19
-15.14,-1.65
-15.51,-2.19
-15.23,-1.65
-15.46,-1.65
-14.94,-1.65
-15.00,-2.19
-14.83,-1.65
-15.09,-2.19
-14.91,-1.65
-15.11,-1.65
-14.89,-2.19
-14.80,-1.65
-14.77,-1.65
-14.91,-2.19
-15.29,-1.65
-15.09,-1.65
-15.06,-1.65
-14.91,-2.74
-14.97,-2.19
-14.54,-1.65
-14.97,-2.19
-15.23,-1.65
-15.26,-2.19
-14.80,-1.65
-15.34,-2.19
-14.77,-2.19
-14.91,-2.19
-15.31,-1.65
-15.14,-2.19
-15.14,-1.65
-15.23,-2.19
-15.20,-2.19
-14.94,-2.19
-14.69,-2.19
-14.43,-2.19
-14.89,-2.19
-14.60,-1.10
-14.74,-2.19
-14.34,-1.65
-15.06,-1.65
-14.43,-1.65
-14.71,-2.19
-14.60,-1.65
-14.91,-1.65
-14.91,-1.65
-14.69,-2.19
-14.69,-2.74
-14.54,-1.10
-14.29,-1.65
-14.00,-2.19
-14.29,-2.19
-13.94,-1.65
-13.20,-2.19
-11.71,-2.19
-8.40,0.00
-9.17,0.00
-10.91,-2.19
-6.17,-2.19
-5.23,-0.55
-6.37,-0.55
-7.69,-1.65
-7.06,-1.65
2.20,1.65
25.89,2.74
22.29,2.19
22.54,2.19
23.46,2.74
22.51,2.74
22.63,2.19
22.71,2.74
22.97,2.74
23.34,2.74
22.80,2.74
22.49,2.19
23.00,2.19
22.66,2.74
22.40,2.74
22.57,2.19
23.06,2.19
22.60,2.74
22.37,2.74
21.77,2.19
22.51,2.19
22.26,2.19
22.29,2.74
22.46,3.29
22.46,2.74
23.11,3.29
22.11,3.29
22.89,3.29
21.94,3.29
22.43,2.74
22.09,2.74
22.14,3.29
22.49,2.74
22.63,3.29
21.51,2.74
22.69,3.29
22.03,2.74
21.97,2.74
22.14,2.74
21.54,3.29
20.94,2.74
20.66,3.84
19.97,3.29
19.23,3.29
18.71,3.84
19.97,3.84
19.66,3.84
18.17,5.48
15.94,4.94
15.71,6.58
14.17,5.48
-23.43,0.55
-19.71,-0.55
-17.17,-1.10
-16.71,-1.65
-15.83,-1.65
-15.89,-1.10
-15.69,-1.65
-15.54,-1.65
-15.23,-1.10
-15.40,-1.65
-14.94,-1.65
-15.09,-2.74
-15.49,-2.19
-14.77,-1.65
-15.31,-1.65
-15.17,-2.19
-14.74,-1.10
-15.03,-1.65
-14.86,-1.65
-14.97,-1.65
-14.66,-2.19
-14.94,-2.19
-14.66,-1.65
-15.00,-1.65
-15.17,-2.19
-15.20,-2.19
-14.69,-1.10
-14.74,-1.65
-14.97,-1.10
-14.74,-1.65
-14.63,-2.19
-14.89,-1.65
-15.06,-1.65
-15.06,-2.19
-15.00,-2.19
-14.89,-1.65
-15.17,-2.19
-14.97,-1.65
-14.86,-1.65
-15.31,-2.19
-14.60,-1.65
-15.60,-1.65
-14.97,-2.74
-15.06,-1.65
-14.71,-1.65
-14.86,-2.19
-14.94,-2.19
-14.86,-2.19
-15.09,-2.19
-14.71,-1.65
-14.57,-1.65
-14.69,-2.19
-14.57,-2.19
-14.63,-1.65
-14.54,-2.19
-14.83,-1.65
-14.89,-1.65
-14.60,-1.65
-14.51,-2.19
-14.49,-1.65
-14.14,-1.65
-14.71,-2.19
-14.26,-2.19
-12.66,-1.10
-12.83,-2.19
-9.00,-1.65
-8.91,-1.65
-9.17,-2.19
-9.80,-1.10
-7.20,-1.65
7.86,-0.55
24.03,2.74
22.34,2.74
22.80,2.19
22.46,2.19
23.00,2.74
23.09,2.19
23.03,2.74
22.46,2.19
23.00,2.19
22.11,2.19
23.51,2.74
22.74,3.29
22.03,2.74
22.66,2.74
22.83,2.74
22.71,2.74
21.77,2.19
22.00,2.74
22.66,2.74
21.86,2.74
22.51,2.74
22.69,2.74
22.77,3.29
21.49,3.29
22.14,2.74
22.46,2.74
21.74,2.19
22.11,2.74
22.11,3.29
21.94,2.74
21.00,3.29
21.00,3.29
22.23,3.29
21.29,2.19
21.49,2.74
22.37,3.29
22.09,3.29
22.00,3.29
20.77,3.84
19.97,3.29
19.77,4.39
18.57,3.84
19.11,3.84
19.26,3.84
19.63,4.39
16.06,4.39
15.26,5.48
12.54,6.58
-23.74,0.55
-18.91,0.00
